동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢)
종로구,소계,"150,453",23.91,"6,292"
중구,소계,"131,793",9.96,"13,232"
용산구,소계,"227,106",21.87,"10,386"
성동구,소계,"284,766",16.82,"16,930"
광진구,소계,"351,180",17.06,"20,582"
동대문구,소계,"359,873",14.22,"25,315"
중랑구,소계,"387,470",18.5,"20,948"
성북구,소계,"438,168",24.58,"17,828"
강북구,소계,"292,977",23.6,"12,414"
도봉구,소계,"309,494",20.65,"14,987"
노원구,소계,"502,925",35.44,"14,191"
은평구,소계,"470,869",29.71,"15,849"
서대문구,소계,"320,629",17.63,"18,190"
마포구,소계,"375,162",23.85,"15,727"
양천구,소계,"439,252",17.41,"25,236"
강서구,소계,"568,826",41.45,"13,723"
구로구,소계,"415,651",20.12,"20,656"
금천구,소계,"241,105",13.02,"18,517"
영등포구,소계,"397,800",24.55,"16,203"
동작구,소계,"389,714",16.36,"23,826"
관악구,소계,"497,883",29.57,"16,838"
서초구,소계,"412,078",46.97,"8,774"
강남구,소계,"550,282",39.5,"13,932"
송파구,소계,"660,025",33.88,"19,483"
강동구,소계,"463,318",24.59,"18,841"
